,觀測時間,溫度(°C),溫度(°F),天氣,風向,風力 (m/s)|(級),陣風 (m/s)|(級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
65,10/30 04:20,21.6,70.9,X,北北東,4.0 | 3,15.5 | 7,-,59,1011.5,0.0,0.0
66,10/30 04:10,21.6,70.9,X,東北,3.7 | 3,15.5 | 7,-,59,1011.5,0.0,0.0
67,10/30 04:00,21.6,70.9,X,北北東,4.0 | 3,15.5 | 7,-,59,1011.6,0.0,0.0
68,10/30 03:50,21.6,70.9,X,北北東,4.5 | 3,13.0 | 6,-,59,1011.6,0.0,0.0
69,10/30 03:40,21.5,70.7,X,北北東,4.3 | 3,13.0 | 6,-,59,1011.6,0.0,0.0
70,10/30 03:30,21.3,70.3,X,北北東,4.8 | 3,13.0 | 6,-,59,1011.7,0.0,0.0
71,10/30 03:20,21.2,70.2,X,北北東,4.4 | 3,13.0 | 6,-,59,1011.8,0.0,0.0
72,10/30 03:10,21.2,70.2,X,北北東,4.4 | 3,13.0 | 6,-,59,1011.8,0.0,0.0
73,10/30 03:00,21.2,70.2,X,北北東,4.0 | 3,13.0 | 6,-,59,1011.9,0.0,0.0
74,10/30 02:50,21.3,70.3,X,北北東,4.5 | 3,12.5 | 6,-,59,1011.9,0.0,0.0
75,10/30 02:40,21.2,70.2,X,北北東,4.8 | 3,12.5 | 6,-,59,1012.1,0.0,0.0
76,10/30 02:30,21.3,70.3,X,北北東,4.8 | 3,12.5 | 6,-,58,1012.2,0.0,0.0
77,10/30 02:20,21.4,70.5,X,北北東,3.9 | 3,12.5 | 6,-,58,1012.3,0.0,0.0
78,10/30 02:10,21.5,70.7,X,北北東,4.8 | 3,12.5 | 6,-,58,1012.3,0.0,0.0
79,10/30 02:00,21.6,70.9,X,北北東,3.5 | 3,12.5 | 6,-,57,1012.5,0.0,0.0
80,10/30 01:50,21.5,70.7,X,北北東,4.4 | 3,11.5 | 6,-,57,1012.5,0.0,0.0
81,10/30 01:40,21.6,70.9,X,北北東,4.7 | 3,11.5 | 6,-,56,1012.7,0.0,0.0
82,10/30 01:30,21.5,70.7,X,北北東,3.8 | 3,11.5 | 6,-,57,1012.9,0.0,0.0
83,10/30 01:20,21.4,70.5,X,北北東,4.3 | 3,11.5 | 6,-,56,1012.9,0.0,0.0
84,10/30 01:10,21.5,70.7,X,北北東,4.1 | 3,11.5 | 6,-,55,1012.9,0.0,0.0
85,10/30 01:00,21.5,70.7,X,北,3.5 | 3,11.5 | 6,-,55,1012.9,0.0,0.0
86,10/30 00:50,21.6,70.9,X,北北東,4.1 | 3,-,-,54,1012.9,0.0,0.0
87,10/30 00:40,21.6,70.9,X,北北東,3.9 | 3,-,-,53,1012.9,0.0,0.0
88,10/30 00:30,21.5,70.7,X,北北東,3.7 | 3,-,-,54,1012.9,0.0,0.0
89,10/30 00:20,21.6,70.9,X,北北東,4.0 | 3,-,-,53,1012.9,0.0,0.0
90,10/30 00:10,21.7,71.1,X,北北東,4.1 | 3,-,-,52,1013.3,0.0,0.0
91,10/30 00:00,21.6,70.9,X,北北東,4.0 | 3,-,-,52,1013.5,0.0,9.9
92,10/29 23:50,21.8,71.2,X,北,3.2 | 2,12.5 | 6,-,50,1013.5,0.0,9.9
93,10/29 23:40,21.8,71.2,X,北北東,3.2 | 2,12.5 | 6,-,50,1013.5,0.0,9.9
94,10/29 23:30,21.6,70.9,X,北北東,2.8 | 2,12.5 | 6,-,51,1013.6,0.0,9.9
95,10/29 23:20,21.6,70.9,X,北北東,2.8 | 2,12.5 | 6,-,51,1013.7,0.0,9.9
96,10/29 23:10,21.7,71.1,X,北北東,3.4 | 3,12.5 | 6,-,51,1013.9,0.0,9.9
97,10/29 23:00,21.5,70.7,X,東北,3.0 | 2,12.5 | 6,-,52,1013.9,0.0,9.9
98,10/29 22:50,21.6,70.9,X,北北東,2.5 | 2,-,-,51,1013.9,0.0,9.9
99,10/29 22:40,21.6,70.9,X,北北東,2.8 | 2,-,-,51,1014.0,0.0,9.9
100,10/29 22:30,21.5,70.7,X,北北東,3.0 | 2,-,-,51,1014.1,0.0,9.9
101,10/29 22:20,21.5,70.7,X,北北東,2.7 | 2,-,-,51,1014.1,0.0,9.9
102,10/29 22:10,21.7,71.1,X,北北東,3.0 | 2,-,-,50,1014.1,0.0,9.9
103,10/29 22:00,21.6,70.9,X,北北東,3.0 | 2,-,-,50,1014.0,0.0,9.9
104,10/29 21:50,21.6,70.9,X,北北東,3.4 | 3,12.5 | 6,-,49,1013.8,0.0,9.9
105,10/29 21:40,21.8,71.2,X,北北東,3.9 | 3,12.5 | 6,-,48,1013.9,0.0,9.9
106,10/29 21:30,21.7,71.1,X,北北東,3.0 | 2,12.5 | 6,-,48,1013.9,0.0,9.9
107,10/29 21:20,21.8,71.2,X,東北,3.0 | 2,12.5 | 6,-,48,1013.9,0.0,9.9
108,10/29 21:10,21.9,71.4,X,北北東,3.5 | 3,12.5 | 6,-,47,1013.8,0.0,9.9
109,10/29 21:00,22.0,71.6,X,北北東,3.5 | 3,12.5 | 6,-,47,1013.8,0.0,9.9
110,10/29 20:50,22.0,71.6,晴,東北,4.2 | 3,11.5 | 6,12.0,46,1013.7,0.0,9.9
111,10/29 20:40,22.0,71.6,晴,東北,3.3 | 2,11.5 | 6,12.0,46,1013.8,0.0,9.9
112,10/29 20:30,22.0,71.6,晴,東北,3.9 | 3,11.5 | 6,12.0,46,1013.6,0.0,9.9
113,10/29 20:20,22.1,71.8,晴,東北東,3.9 | 3,11.5 | 6,12.0,46,1013.8,0.0,9.9
114,10/29 20:10,22.1,71.8,晴,東北,3.7 | 3,11.5 | 6,12.0,46,1014.0,0.0,9.9
115,10/29 20:00,22.2,72.0,晴,東北,4.0 | 3,11.5 | 6,12.0,46,1014.1,0.0,9.9
116,10/29 19:50,22.0,71.6,X,東北,2.5 | 2,-,-,46,1014.3,0.0,9.9
117,10/29 19:40,22.1,71.8,X,東北,2.6 | 2,-,-,46,1014.2,0.0,9.9
118,10/29 19:30,22.1,71.8,X,東北,3.4 | 3,-,-,46,1014.1,0.0,9.9
119,10/29 19:20,22.1,71.8,X,北北東,2.4 | 2,-,-,46,1014.1,0.0,9.9
120,10/29 19:10,22.2,72.0,X,北北東,3.2 | 2,-,-,46,1014.1,0.0,9.9
121,10/29 19:00,22.3,72.1,X,東北,3.5 | 3,-,-,45,1014.1,0.0,9.9
122,10/29 18:50,22.4,72.3,X,東北,3.6 | 3,11.0 | 6,-,45,1013.8,0.0,9.9
123,10/29 18:40,22.4,72.3,X,北北東,3.4 | 3,11.0 | 6,-,44,1013.7,0.0,9.9
124,10/29 18:30,22.5,72.5,X,北北東,3.4 | 3,11.0 | 6,-,44,1013.5,0.0,9.9
125,10/29 18:20,22.5,72.5,X,北北東,2.7 | 2,11.0 | 6,-,43,1013.5,0.0,9.9
126,10/29 18:10,22.6,72.7,X,東北,3.2 | 2,11.0 | 6,-,43,1013.4,0.0,9.9
127,10/29 18:00,22.7,72.9,X,東北,3.5 | 3,11.0 | 6,-,42,1013.3,0.0,9.9
128,10/29 17:50,22.7,72.9,晴,東北東,3.1 | 2,14.5 | 7,20.0,42,1013.3,0.0,9.9
129,10/29 17:40,22.8,73.0,晴,東北,3.5 | 3,14.5 | 7,20.0,41,1013.4,0.0,9.9
130,10/29 17:30,23.0,73.4,晴,東北,4.1 | 3,14.5 | 7,20.0,41,1013.4,0.0,9.9
131,10/29 17:20,23.2,73.8,晴,北北東,3.9 | 3,14.5 | 7,20.0,41,1013.2,0.0,9.9
132,10/29 17:10,23.2,73.8,晴,北北東,3.3 | 2,14.5 | 7,20.0,41,1013.1,0.0,9.9
133,10/29 17:00,23.4,74.1,晴,北北東,2.5 | 2,14.5 | 7,20.0,41,1012.9,0.0,9.9
134,10/29 16:50,23.6,74.5,晴,東北,2.2 | 2,13.0 | 6,-,41,1012.9,0.0,9.9
135,10/29 16:40,23.8,74.8,晴,北北東,2.9 | 2,13.0 | 6,-,40,1012.9,0.0,9.9
136,10/29 16:30,24.0,75.2,晴,北北東,3.2 | 2,13.0 | 6,-,40,1013.0,0.0,9.9
137,10/29 16:20,24.2,75.6,晴,東北,3.3 | 2,13.0 | 6,-,40,1012.9,0.0,9.9
138,10/29 16:10,24.3,75.7,晴,東北,3.5 | 3,13.0 | 6,-,40,1012.8,0.0,9.8
139,10/29 16:00,24.5,76.1,晴,北北東,3.5 | 3,13.0 | 6,-,40,1012.8,0.0,9.6
140,10/29 15:50,24.6,76.3,晴,北北東,3.9 | 3,14.5 | 7,-,40,1012.6,0.0,9.5
141,10/29 15:40,24.8,76.6,晴,北北東,4.5 | 3,14.5 | 7,-,40,1012.4,0.0,9.3
142,10/29 15:30,24.9,76.8,晴,北北東,4.3 | 3,14.5 | 7,-,40,1012.3,0.0,9.1
143,10/29 15:20,25.1,77.2,晴,北北東,3.5 | 3,14.5 | 7,-,40,1012.1,0.0,9.0
144,10/29 15:10,25.1,77.2,晴,北北東,5.4 | 3,14.5 | 7,-,39,1012.1,0.0,8.8
145,10/29 15:00,25.2,77.4,晴,北北東,5.0 | 3,14.5 | 7,-,39,1012.1,0.0,8.6
146,10/29 14:50,25.2,77.4,晴,北北東,4.8 | 3,13.0 | 6,20.0,39,1011.9,0.0,8.5
147,10/29 14:40,25.2,77.4,晴,北北東,5.3 | 3,13.0 | 6,20.0,39,1011.9,0.0,8.3
148,10/29 14:30,25.2,77.4,晴,北北東,4.5 | 3,13.0 | 6,20.0,39,1011.9,0.0,8.1
149,10/29 14:20,25.4,77.7,晴,北北東,5.1 | 3,13.0 | 6,20.0,39,1011.9,0.0,8.0
